week,fitness_label,factor_name,candidate_id,train_ic,train_rank_ic,train_icir,train_rank_icir,test_rank_ic,test_orientation,formula
week2,qualified,factor_mut_hc004_volpctrank_s12_clip2_5_volwin6,raw_ca_hash_53a3e3f7,0.027175264154197215,0.04986724548002547,0.23961291917026598,0.42108146868308477,,,"ema( (close - delay(close, 1))/delay(close, 1) * rank_pct6(volume) * ((high-low)/close) , span=12 ) clip ±2.5"
week2,qualified,factor_crossover_herding_stress_span12_volrank_clip3,raw_ca_hash_b0ca3bdd,0.026860174201241576,0.04919334123022476,0.23789467873792738,0.4182087395433627,,,"ema( ts_pct(close) * rank_pct8(volume) * ((high-low)/close), span=12 ) clip ±3"
week2,qualified,factor_mut_hc004_volpctrank_w8,raw_ca_hash_b719027d,0.026860174201241576,0.04919334123022476,0.23789467873792738,0.4182087395433627,,,"ema( (close - delay(close, 1))/delay(close, 1) * rank_pct8(volume) * ((high-low)/close) , span=12 )"
week2,qualified,factor_vol_price_log_range_gate_clipped_boost_5day_mut_001,raw_ca_hash_27a292b1,0.02406245229456068,0.04827707789654243,0.2075760103641479,0.39472257954942347,,,"EMA12( pct_change * log1p(volume/SMA5(volume)) * (1 + min(max(0, zscore5(range)), 2.0)) )"
week2,qualified,factor_vol_price_log_range_gate_clipped_10day_mut_003,raw_ca_hash_c1a04bc5,0.024587147036714135,0.04792196090666524,0.21283694497449632,0.39657739559065525,,,"EMA12( pct_change * log1p(volume/SMA5(volume)) * (1 + cap(zscore10(range), 0, 2)) )"
week2,qualified,factor_vol_surge_regime_gated,raw_ca_hash_c4358b90,0.024935617701461233,0.04560232498456135,0.21438774703792565,0.4048674982089943,0.03973472434247107,flipped,"ema(intraday_return * safe_div(numerator=volume, denominator=ts_max(volume, 20)) * where(high - low > ts_quantile(high - low, 20, 0.5), 1, 0), 20)"
week2,qualified,factor_volume_confirmed_momentum_tanh_gated,raw_ca_hash_0a4e4a21,0.03682561584328748,0.04525603899007993,0.3465592328383982,0.3863954706631584,0.005435923505080634,original,"(sigmoid(2 * (- safe_div(numerator=2 * close - high - low, denominator=high - low) * safe_div(numerator=ts_mean(high - low, 5), denominator=ts_mean(close, 5)))) * 2 - 1)"
week1,elite,factor_intraday_return_volume_surge,raw_ca_hash_6b0f76d3,0.025354312767389323,0.0452175918013862,0.2100077334955269,0.37443071388365434,0.037985823689438036,flipped,"ema(intraday_return * safe_div(numerator=volume, denominator=ts_max(volume, 20)), 20)"
week1,elite,factor_herding_momentum_stress,raw_ca_hash_ef639934,0.02423187014584172,0.04513472830934807,0.2446354309676362,0.3704255442931516,,,"ema( (close - delay(close, 1))/delay(close, 1) * (volume / ts_mean(volume,5)) * ((high-low)/close) , span=5 )"
week2,qualified,factor_vol_weighted_pct_range_clip_ema10,raw_ca_hash_948c7055,0.023944668759088114,0.04500667851407581,0.22683172818664774,0.3930790925014266,,,"EMA10( pct_change * (volume/SMA20(volume)) * (1 + cap(zscore10(range), 0, 2)) )"
week1,elite,factor_volume_confirmed_momentum,raw_ca_hash_d37770d2,0.024903742995501573,0.04323428947900828,0.219954856289788,0.3417460623012152,0.009362184231823337,flipped,"(daily_return) * (safe_div(numerator=volume, denominator=ts_mean(volume, 20)))"
week1,elite,factor_directional_vol_volbase25_smooth_dir_range10,raw_ca_hash_1476a21c,0.02974448254520689,0.04320842128262164,0.30686975691482016,0.3630254921993133,,,"range_pct = (high-low)/close; smooth_range = ema(range_pct, span=10); vol_ratio = volume / ts_mean(volume,25); smooth_vol = ema(vol_ratio, span=15); direction = (close-open)/close; smooth_direction = ema(direction, span=3); factor = smooth_range * smooth_vol * smooth_direction"
week2,qualified,factor_adaptive_vol_directional_smooth_range10,raw_ca_hash_f1858c32,0.02974448254520689,0.04320842128262164,0.30686975691482016,0.3630254921993133,,,"smooth_range = ema((high-low)/close, span=10); vol_ratio = volume / ts_mean(volume,25); smooth_vol = ema(vol_ratio, span=15); direction=(close-open)/close; smooth_direction=ema(direction, span=3); factor = smooth_range * smooth_vol * smooth_direction"
week2,qualified,factor_intraday_volume_spike,raw_ca_hash_e9cbfd57,0.02533248363080693,0.04295737873798425,0.24316155416468616,0.36669979474494163,0.03296207189051624,flipped,"ema(intraday_return * safe_div(numerator=volume, denominator=ts_mean(volume, 20)), 10)"
week2,qualified,factor_herding_vol_stress,raw_ca_hash_340f0ad9,0.016923203669484275,0.041039005729458435,0.22722436694679832,0.35276852771144634,0.02688409234700629,flipped,"ema(safe_div(numerator=close - open, denominator=high - low) * safe_div(numerator=volume, denominator=ts_quantile(volume, 10, 0.5)) * safe_div(numerator=high - low, denominator=close), 5)"
week1,elite,factor_intraday_reversal,raw_ca_hash_e5e44222,0.03410804878979901,0.039424607598805984,0.37462718429711445,0.374610679454736,0.00544259838455681,original,"- safe_div(numerator=2 * close - high - low, denominator=high - low) * safe_div(numerator=ts_mean(high - low, 5), denominator=ts_mean(close, 5))"
week2,elite,factor_volume_weighted_price_change,raw_ca_hash_83b7560a,0.024356132616329615,0.03906133833273069,0.2278538059234055,0.30853761957629455,,,"EMA5( (close / delay(close, 1) - 1) * (volume / SMA20(volume)) )"
